Date,Open,High,Low,Close,Adj Close,Volume
2016-01-27,14.329,14.329,14.329,14.329,10.885167,0
2016-01-28,13.958,13.958,13.958,13.958,10.603333,0
2016-01-29,13.77,13.77,13.77,13.77,10.460517,0
2016-02-01,13.787,13.787,13.787,13.787,10.473432,0
2016-02-02,13.705,13.72,13.705,13.72,10.422534,100
2016-02-03,13.445,13.445,13.445,13.445,10.213627,0
2016-02-04,13.029,13.029,13.029,13.029,9.89761,0
2016-02-05,13.126,13.126,13.126,13.126,9.971295,0
2016-02-08,13.545,13.545,13.545,13.545,10.289594,0
2016-02-09,13.365,13.365,13.365,13.365,10.152855,0
2016-02-10,13.226,13.226,13.226,13.226,10.047262,0
2016-02-11,12.932,12.932,12.932,12.932,9.823922,0
2016-02-12,12.823,12.823,12.823,12.823,9.741119,0
2016-02-15,12.725,12.725,12.725,12.725,9.666673,1300
2016-02-16,12.916,12.916,12.916,12.916,9.811768,0
2016-02-17,13.091,13.091,13.091,13.091,9.944708,0
2016-02-18,13.983,13.983,13.983,13.983,10.622325,0
2016-02-19,14.056,14.056,14.056,14.056,10.677779,0
2016-02-22,14.284,14.284,14.284,14.284,10.850982,0
2016-02-23,14.537,14.537,14.537,14.537,11.043176,0
2016-02-24,14.166,14.166,14.166,14.166,10.761343,0
2016-02-25,14.036,14.036,14.036,14.036,10.662587,0
2016-02-26,14.178,14.178,14.178,14.178,10.770459,0
2016-02-29,14.336,14.336,14.336,14.336,10.890485,0
2016-03-01,14.441,14.441,14.441,14.441,10.970248,0
2016-03-02,null,null,null,null,null,null
2016-03-03,14.058,14.058,14.058,14.058,10.679299,0
2016-03-04,14.618,14.618,14.618,14.618,11.104709,0
2016-03-07,14.523,14.523,14.523,14.523,11.03254,0
2016-03-08,14.855,14.855,14.573,14.573,11.070524,153
2016-03-09,14.443,14.443,14.443,14.443,10.971768,0
2016-03-10,14.369,14.369,14.369,14.369,10.915553,0
2016-03-11,14.16,14.16,14.16,14.16,10.756783,0
2016-03-14,14.615,14.615,14.615,14.615,11.102429,0
2016-03-15,14.543,14.543,14.543,14.543,11.047734,0
2016-03-16,14.509,14.509,14.509,14.509,11.021906,0
2016-03-17,14.656,15.159,14.656,15.159,11.515685,65
2016-03-18,15.101,15.35,15.101,15.35,11.66078,450
2016-03-21,15.506,15.506,15.506,15.506,11.779286,0
2016-03-22,15.558,15.558,15.558,15.558,11.818789,0
2016-03-23,15.761,15.88,15.761,15.88,12.063399,500
2016-03-24,15.555,15.555,15.555,15.555,11.81651,0
2016-03-29,15.555,16.035,15.555,16.035,12.181147,0
2016-03-30,15.961,15.961,15.961,15.961,12.124932,0
2016-03-31,16.426001,16.426001,16.426001,16.426001,12.478174,0
2016-04-01,16.565001,16.565001,16.565001,16.565001,12.583767,0
2016-04-04,16.254,16.254,16.254,16.254,12.347511,0
2016-04-05,16.471001,16.471001,16.471001,16.471001,12.512359,0
2016-04-06,null,null,null,null,null,null
2016-04-07,null,null,null,null,null,null
2016-04-08,16.052,16.052,16.052,16.052,12.194061,0
2016-04-11,16.261,16.261,16.261,16.261,12.35283,0
2016-04-12,16.299999,16.299999,16.299999,16.299999,12.382456,0
2016-04-13,16.122,16.122,16.122,16.122,12.247237,0
2016-04-14,16.528999,16.528999,16.528999,16.528999,12.556418,0
2016-04-15,16.473,16.473,16.473,16.473,12.513878,0
2016-04-18,16.444,16.444,16.444,16.444,12.491847,0
2016-04-19,16.259001,16.259001,16.259001,16.259001,12.351311,0
2016-04-20,16.752001,16.752001,16.752001,16.752001,12.725823,0
2016-04-21,16.294001,16.294001,15.878,15.878,12.06188,200
2016-04-22,15.814,15.814,15.814,15.814,12.013262,0
2016-04-25,15.272,16.157,15.272,16.157,12.273825,70
2016-04-26,15.096,15.096,15.096,15.096,11.467825,0
2016-04-27,15.24,15.24,15.24,15.24,11.577217,0
2016-04-28,14.85,14.85,14.85,14.85,11.28095,0
2016-04-29,15.113,15.113,15.113,15.113,11.48074,0
2016-05-02,15.03,15.03,15.03,15.03,11.417688,0
2016-05-03,14.929,14.929,14.929,14.929,11.340962,0
2016-05-04,14.873,14.873,14.873,14.873,11.298422,0
2016-05-05,14.515,14.515,14.515,14.515,11.026464,0
2016-05-06,14.469,14.469,14.469,14.469,10.991519,0
2016-05-09,14.341,14.341,14.341,14.341,10.894282,0
2016-05-10,14.34,14.34,14.34,14.34,10.893523,0
2016-05-11,14.139,14.139,14.139,14.139,10.740831,0
2016-05-12,14.574,14.574,14.574,14.574,11.071284,0
2016-05-13,null,null,null,null,null,null
2016-05-17,14.913,15.55,14.913,15.55,11.812712,0
2016-05-18,15.75,15.75,15.75,15.75,11.964643,0
2016-05-19,15.75,15.75,15.565,15.565,11.824106,200
2016-05-20,14.338,14.338,14.338,14.338,10.892004,0
2016-05-23,14.78,14.78,14.78,14.78,11.227774,0
2016-05-24,14.679,14.679,14.679,14.679,11.151048,0
2016-05-25,14.876,14.876,14.876,14.876,11.300701,0
2016-05-26,15.11,15.11,15.11,15.11,11.478461,0
2016-05-27,15.138,15.138,15.138,15.138,11.499731,0
2016-05-30,15.014,15.014,15.014,15.014,11.405534,0
2016-05-31,14.976,14.976,14.976,14.976,11.376666,0
2016-06-01,15.027,15.027,15.027,15.027,11.41541,0
2016-06-02,15.473,15.473,15.473,15.473,11.754217,0
2016-06-03,14.939,14.939,14.939,14.939,11.348559,0
2016-06-06,15.006,15.006,15.006,15.006,11.399456,0
2016-06-07,14.84,14.84,14.84,14.84,11.273353,0
2016-06-08,15.027,15.027,15.027,15.027,11.41541,0
2016-06-09,15.309,15.309,15.309,15.309,11.629634,0
2016-06-10,14.93,14.93,14.93,14.93,11.341722,0
2016-06-13,14.95,14.95,14.95,14.95,11.356915,0
2016-06-14,14.95,14.95,14.95,14.95,11.356915,0
2016-06-15,14.95,14.95,14.95,14.95,11.356915,0
2016-06-16,14.95,14.95,14.95,14.95,11.356915,0
2016-06-17,14.95,14.95,14.95,14.95,11.356915,0
2016-06-20,14.95,14.95,14.95,14.95,11.356915,0
2016-06-21,14.95,14.95,14.95,14.95,11.356915,0
2016-06-22,14.95,14.95,14.95,14.95,11.356915,0
2016-06-23,15.16,15.16,15.16,15.16,11.516444,0
2016-06-24,15.451,15.451,15.451,15.451,11.737506,0
2016-06-27,14.95,14.95,14.95,14.95,11.356915,0
2016-06-28,14.95,14.95,14.95,14.95,11.356915,0
2016-06-29,14.998,14.998,14.998,14.998,11.393379,0
2016-06-30,15.021,15.021,15.021,15.021,11.410851,0
2016-07-01,15.036,15.036,15.036,15.036,11.422246,0
2016-07-04,14.84,14.84,14.84,14.84,11.273353,0
2016-07-05,14.529,14.529,14.529,14.529,11.0371,0
2016-07-06,14.445,14.445,14.445,14.445,10.973287,0
2016-07-07,14.255,14.255,14.255,14.255,10.828952,0
2016-07-08,14.329,14.329,14.329,14.329,10.885167,0
2016-07-11,13.856,13.856,13.856,13.856,10.525847,151
2016-07-12,13.866,13.866,13.866,13.866,10.533444,0
2016-07-13,14.247,14.247,14.247,14.247,10.822875,0
2016-07-14,14.087,14.087,14.087,14.087,12.448913,0
2016-07-15,13.425,13.425,13.425,13.425,11.863893,0
2016-07-18,13.627,13.627,13.627,13.627,12.042403,0
2016-07-19,14.249,14.249,14.249,14.249,12.592074,0
2016-07-20,14.391,14.391,14.391,14.391,12.717563,0
2016-07-21,14.083,14.083,14.083,14.083,12.445378,0
2016-07-22,14.159,14.159,14.159,14.159,12.512541,0
2016-07-25,14.05,14.05,14.05,14.05,12.416216,600
2016-07-26,14.189,14.189,14.189,14.189,12.539052,0
2016-07-27,14.333,14.333,14.333,14.333,12.666307,0
2016-07-28,14.245,14.99,14.245,14.99,13.246909,151
2016-07-29,13.82,13.82,13.82,13.82,12.21296,0
2016-08-01,13.659,13.659,13.659,13.659,12.070683,0
2016-08-02,13.701,13.701,13.701,13.701,12.107799,0
2016-08-03,13.844,13.914,13.844,13.914,12.29603,100
2016-08-04,13.842,13.842,13.842,13.842,12.232403,0
2016-08-05,14.263,14.263,14.263,14.263,12.604446,0
2016-08-08,14.358,14.358,14.358,14.358,12.6884,0
2016-08-09,14.541,14.541,14.541,14.541,12.850121,0
2016-08-10,14.68,14.68,14.68,14.68,12.972957,0
2016-08-11,14.907,14.907,14.907,14.907,13.17356,0
2016-08-12,15.01,15.01,15.01,15.01,13.264584,0
2016-08-15,14.844,14.844,14.844,14.844,13.117887,0
2016-08-16,14.845,15.706,14.845,15.706,13.87965,16
2016-08-17,14.479,14.479,14.479,14.479,12.79533,0
2016-08-18,14.6,14.6,14.6,14.6,12.90226,0
2016-08-19,14.6,14.6,14.6,14.6,12.90226,0
2016-08-22,14.6,14.6,14.6,14.6,12.90226,0
2016-08-23,14.635,14.635,14.635,14.635,12.933189,0
2016-08-24,14.6,14.6,14.6,14.6,12.90226,0
2016-08-25,14.6,14.6,14.6,14.6,12.90226,0
2016-08-26,14.6,14.6,14.6,14.6,12.90226,0
2016-08-29,14.6,14.6,14.6,14.6,12.90226,0
2016-08-30,14.6,14.6,14.6,14.6,12.90226,0
2016-08-31,14.6,14.6,14.6,14.6,12.90226,0
